job_title,count
Data Analyst,31
Senior Data Scientist,20
Data Scientist,20
Data Engineer,15
"JUNIOR DATA SCIENTIST - Dubai, UAE",9
Business Intelligence Analyst,8
Senior Data Analyst,6
Plan Data and Analytics Lead,6
SQL Database Administrator,6
Real World Evidence Data Analytics,5
Senior Data Scientist- AI/ML,5
Finance Data Analyst,5
Data Scientist ( Fixed term contract),4
Senior Marketing Data Scientist,4
BI Developer /DBA - Perm,4
Head of Pre-Analytics,3
Senior Data Analyst - Hybrid,3
Data Analyst - Hybrid,3
Developer (Business Intelligence),3
"Project Controls Engineer, Project Controllers &amp; Data Analysts",3
